Series,Order,AIC,BIC
EU27_Emp,"(2, 1, 2)",1176.0885756387142,1189.4992317743354
EU27_Emp,"(0, 1, 1)",1178.6298499707482,1183.9941124249967
EU27_Emp,"(0, 1, 2)",1180.1083293249073,1188.15472300628
EU27_Emp,"(1, 1, 1)",1180.1749438518432,1188.2213375332158
EU27_Emp,"(1, 1, 0)",1181.315993552943,1186.6802560071915
EU27_Emp,"(2, 1, 0)",1181.537998512358,1189.5843921937305
EU27_Emp,"(2, 1, 1)",1181.8969516095065,1192.6254765180033
EU27_Emp,"(1, 1, 2)",1182.1077542052776,1192.8362791137745
EU27_Emp,"(0, 1, 0)",1186.9997301838011,1189.6818614109254
NonEU_Emp,"(1, 1, 2)",1192.7231552993942,1203.451680207891
NonEU_Emp,"(2, 1, 1)",1192.9056719878424,1203.6341968963393
NonEU_Emp,"(1, 1, 1)",1193.3208394569313,1201.3672331383038
NonEU_Emp,"(2, 1, 2)",1194.7230614840362,1208.1337176196573
NonEU_Emp,"(1, 1, 0)",1198.7790449639288,1204.1433074181773
NonEU_Emp,"(2, 1, 0)",1199.6225780743405,1207.668971755713
NonEU_Emp,"(0, 1, 2)",1202.2841039675495,1210.3304976489221
NonEU_Emp,"(0, 1, 1)",1203.4653649941547,1208.8296274484032
NonEU_Emp,"(0, 1, 0)",1217.749158357399,1220.4312895845233
NonUK_Born_Emp,"(1, 1, 2)",1285.1692934488835,1295.8978183573804
NonUK_Born_Emp,"(2, 1, 2)",1286.610107498699,1300.0207636343202
NonUK_Born_Emp,"(1, 1, 0)",1287.8725079870862,1293.2367704413348
NonUK_Born_Emp,"(1, 1, 1)",1289.86401179424,1297.9104054756126
NonUK_Born_Emp,"(2, 1, 0)",1289.86760336618,1297.9139970475526
NonUK_Born_Emp,"(0, 1, 2)",1290.4452152695849,1298.4916089509575
NonUK_Born_Emp,"(2, 1, 1)",1291.8713404076639,1302.5998653161607
NonUK_Born_Emp,"(0, 1, 1)",1292.1538398314644,1297.518102285713
NonUK_Born_Emp,"(0, 1, 0)",1311.4600929088326,1314.142224135957
