,Non-UK-born,EU27,Non-EU
2026-04-01,7831.3475596454555,2435.0125562215576,5378.30608551935
2026-07-01,7888.0811167977,2435.0125562215576,5457.8005978887795
2026-10-01,7944.762337628325,2435.0125562215576,5536.491738865022
2027-01-01,8001.3912704172335,2435.0125562215576,5614.387627317874
2027-04-01,8057.9679633997885,2435.0125562215576,5691.496300067847
2027-07-01,8114.492464766857,2435.0125562215576,5767.825712715361
2027-10-01,8170.96482266485,2435.0125562215576,5843.383740461553
2028-01-01,8227.385085195763,2435.0125562215576,5918.178178920792
2028-04-01,8283.753300417222,2435.0125562215576,5992.216744924981
2028-07-01,8340.069516342513,2435.0125562215576,6065.507077319737
2028-10-01,8396.333780940637,2435.0125562215576,6138.056737752515
2029-01-01,8452.546142136338,2435.0125562215576,6209.8732114527775
