Date,NonUK_Born_Forecast,EU27_Forecast,NonEU_Forecast
2026-04-01,7817.449861859029,2431.5198492416707,5378.306084955112
2026-07-01,7911.449529716549,2427.2614144429645,5457.800596531848
2026-10-01,7985.421465889668,2427.836742922355,5536.491736491616
2027-01-01,8043.632813503088,2427.7590141617084,5614.387623708817
2027-04-01,8089.4415507928625,2427.769515571682,5691.496295008496
2027-07-01,8125.490199348797,2427.7680967968226,5767.825705995539
2027-10-01,8153.858260543958,2427.7682884779497,5843.383731875476
2028-01-01,8176.182173595058,2427.768262581202,5918.178168267006
2028-04-01,8193.749715151196,2427.7682660799373,5992.216732006297
2028-07-01,8207.574285943074,2427.7682656072466,6065.50706194316
2028-10-01,8218.453369790344,2427.7682656711086,6138.056719729184
2029-01-01,8227.014537231831,2427.7682656624806,6209.873190597898
